,city,day,convrate,avspend,visits,Gsearchprod,online_purchases,sales
78,Milan,2018-11-10,0.40299999999999997,70.04,35222,9241,14194.465999999999,994180.39864
79,Rome,2018-11-10,0.7340000000000001,27.66,15901,4865,11671.334,322829.09844000003
80,Naples,2018-11-10,0.424,39.86,23830,671,10103.92,402742.2512
81,Milan,2018-11-11,0.439,67.7,35762,9281,15699.518,1062857.3686000002
82,Rome,2018-11-11,0.526,39.01,15545,4728,8176.67,318971.8967
83,Naples,2018-11-11,0.396,36.48,24256,841,9605.376,350404.11647999997
84,Milan,2018-11-12,0.67,45.33,35526,9165,23802.420000000002,1078963.6986
85,Rome,2018-11-12,0.687,27.91,15648,4920,10750.176000000001,300037.41216000007
86,Naples,2018-11-12,0.45799999999999996,33.56,23874,672,10934.292,366954.83952
87,Milan,2018-11-13,0.632,46.93,35543,9328,22463.176,1054196.84968
88,Rome,2018-11-13,0.35700000000000004,56.03,15901,4930,5676.657000000001,318063.09171000007
89,Naples,2018-11-13,0.7390000000000001,20.73,24022,691,17752.258,368004.30834000005
90,Milan,2018-11-14,0.634,46.89,35632,9243,22590.688000000002,1059277.3603200002
91,Rome,2018-11-14,0.539,36.65,15767,4917,8498.413,311466.83645
92,Naples,2018-11-14,0.645,22.83,23866,703,15393.57,351435.2031
93,Milan,2018-11-15,0.706,44.08,35469,9171,25041.113999999998,1103812.30512
94,Rome,2018-11-15,0.7120000000000001,30.87,15638,4779,11134.256000000001,343714.48272
95,Naples,2018-11-15,0.726,21.4,24085,600,17485.71,374194.19399999996
96,Milan,2018-11-16,0.46,66.17,35277,9184,16227.42,1073768.3814
97,Rome,2018-11-16,0.43,48.56,15581,4783,6699.83,325343.7448
98,Naples,2018-11-16,0.43799999999999994,38.84,24191,806,10595.658,411535.35672000004
99,Milan,2018-11-17,0.733,42.13,35388,9283,25939.404,1092827.09052
100,Rome,2018-11-17,0.43200000000000005,43.81,15436,4756,6668.352000000001,292140.50112000003
101,Naples,2018-11-17,0.5720000000000001,29.25,24126,737,13800.072000000002,403652.106
102,Milan,2018-11-18,0.461,64.54,35635,9275,16427.735,1060246.0169000002
103,Rome,2018-11-18,0.713,28.41,15645,4735,11154.885,316910.28285
104,Naples,2018-11-18,0.505,31.58,24378,782,12310.89,388777.90619999997
105,Milan,2018-11-19,0.573,49.59,35814,9272,20521.422,1017657.31698
106,Rome,2018-11-19,0.457,41.28,15739,4884,7192.723,296915.60544
107,Naples,2018-11-19,0.457,37.33,24005,586,10970.285,409520.73905
108,Milan,2018-11-20,0.578,49.29,35585,9233,20568.129999999997,1013803.1276999998
109,Rome,2018-11-20,0.6920000000000001,32.3,15697,4906,10862.324,350853.0652
110,Naples,2018-11-20,0.354,43.56,23816,717,8430.864,367248.43584
111,Milan,2018-11-21,0.39799999999999996,70.35,35407,9181,14091.985999999999,991371.2150999998
112,Rome,2018-11-21,0.516,39.33,15663,4785,8082.108,317869.30764
113,Naples,2018-11-21,0.737,24.14,23893,819,17609.141,425084.66374
114,Milan,2018-11-22,0.45799999999999996,67.36,35391,9195,16209.078,1091843.4940799999
115,Rome,2018-11-22,0.5,40.64,15661,4786,7830.5,318231.52
116,Naples,2018-11-22,0.619,25.54,23759,840,14706.821,375612.20834
117,Milan,2018-11-23,0.486,63.94,35549,9241,17276.814,1104679.4871599998
118,Rome,2018-11-23,0.364,58.22,15637,4883,5691.8679999999995,331380.55496
119,Naples,2018-11-23,0.698,23.18,23674,711,16524.451999999997,383036.7973599999
120,Milan,2018-11-24,0.713,43.37,35459,9220,25282.267,1096491.91979
121,Rome,2018-11-24,0.607,32.45,15640,4829,9493.48,308063.42600000004
122,Naples,2018-11-24,0.696,26.29,23805,689,16568.28,435580.08119999996
123,Milan,2018-11-25,0.728,41.81,35367,9254,25747.176,1076489.4285600001
124,Rome,2018-11-25,0.733,28.82,15887,4944,11645.171,335613.82822
125,Naples,2018-11-25,0.49,32.24,23963,686,11741.869999999999,378557.8888
126,Milan,2018-11-26,0.524,56.8,35372,9238,18534.928,1052783.9104
127,Rome,2018-11-26,0.46,47.7,15803,4891,7269.38,346749.42600000004
128,Naples,2018-11-26,0.522,29.32,23768,791,12406.896,363770.19072
129,Milan,2018-11-27,0.613,48.18,35458,9239,21735.754,1047228.62772
130,Rome,2018-11-27,0.63,31.18,15604,4738,9830.52,306515.6136
131,Naples,2018-11-27,0.423,38.3,23641,748,10000.143,383005.47689999995
132,Milan,2018-11-28,0.364,84.57,35468,9246,12910.351999999999,1091828.4686399999
133,Rome,2018-11-28,0.679,28.41,15756,4920,10698.324,303939.38484
134,Naples,2018-11-28,0.693,24.4,23784,703,16482.311999999998,402168.41279999993
135,Milan,2018-11-29,0.7440000000000001,41.71,35416,9206,26349.504000000004,1099037.81184
136,Rome,2018-11-29,0.56,35.96,15647,4793,8762.320000000002,315093.02720000007
137,Naples,2018-11-29,0.7070000000000001,23.15,23712,878,16764.384000000002,388095.48960000003
138,Milan,2018-11-30,0.599,47.89,35590,9363,21318.41,1020938.6549
139,Rome,2018-11-30,0.368,52.61,15950,4897,5869.599999999999,308799.65599999996
140,Naples,2018-11-30,0.49200000000000005,31.36,23678,738,11649.576000000001,365330.70336000004
141,Milan,2018-12-01,0.634,46.79,35710,9196,22640.14,1059332.1506
142,Rome,2018-12-01,0.387,57.5,15924,4954,6162.588,354348.81
143,Naples,2018-12-01,0.47,33.85,24036,938,11296.92,382400.742
144,Milan,2018-12-02,0.409,72.34,35854,9312,14664.285999999998,1060814.44924
145,Rome,2018-12-02,0.561,34.94,15990,4814,8970.390000000001,313425.4266
146,Naples,2018-12-02,0.524,29.77,24070,881,12612.68,375479.4836
147,Milan,2018-12-03,0.41200000000000003,70.21,35824,9233,14759.488000000001,1036263.65248
148,Rome,2018-12-03,0.7040000000000001,27.64,15680,4720,11038.720000000001,305110.2208
149,Naples,2018-12-03,0.628,26.99,23870,777,14990.36,404589.8164
150,Milan,2018-12-04,0.552,55.61,35783,9337,19752.216,1098420.73176
151,Rome,2018-12-04,0.392,52.18,15816,4863,6199.872,323509.32096000004
152,Naples,2018-12-04,0.6609999999999999,27.13,23978,866,15849.457999999999,429995.79553999996
153,Milan,2018-12-05,0.552,52.32,35592,9224,19646.784000000003,1027919.7388800002
154,Rome,2018-12-05,0.505,37.39,15668,4806,7912.34,295842.3926
155,Naples,2018-12-05,0.46,37.57,24131,857,11100.26,417036.7682
156,Milan,2018-12-06,0.478,59.41,35529,9230,16982.862,1008951.83142
157,Rome,2018-12-06,0.654,32.23,15474,4855,10119.996000000001,326167.47108
158,Naples,2018-12-06,0.735,22.37,24017,744,17652.495,394886.31315
159,Milan,2018-12-07,0.359,79.39,35494,9324,12742.346,1011614.8489399999
160,Rome,2018-12-07,0.45799999999999996,40.95,15251,4801,6984.958,286034.03010000003
161,Naples,2018-12-07,0.461,29.86,23711,691,10930.771,326392.82206000003
162,Milan,2018-12-08,0.518,55.93,35754,9312,18520.572,1035855.59196
163,Rome,2018-12-08,0.48,39.21,15601,4899,7488.48,293623.30079999997
164,Naples,2018-12-08,0.65,24.2,24050,811,15632.5,378306.5
165,Milan,2018-12-09,0.745,40.86,35873,9337,26725.385,1091999.2311
166,Rome,2018-12-09,0.743,28.47,15821,4964,11755.003,334664.93541
167,Naples,2018-12-09,0.722,21.3,23869,701,17233.417999999998,367071.8034
168,Milan,2018-12-10,0.534,57.78,35900,9296,19170.600000000002,1107677.2680000002
169,Rome,2018-12-10,0.414,52.45,15677,4807,6490.277999999999,340415.0811
170,Naples,2018-12-10,0.48100000000000004,32.42,23901,816,11496.381000000001,372712.67202000006
171,Milan,2018-12-11,0.457,68.48,35897,9351,16404.929,1123409.53792
172,Rome,2018-12-11,0.456,45.8,15800,4928,7204.8,329979.83999999997
173,Naples,2018-12-11,0.426,36.88,23971,654,10211.646,376605.50448000006
174,Milan,2018-12-12,0.632,50.98,36221,9495,22891.672,1167017.43856
175,Rome,2018-12-12,0.363,61.28,16034,5081,5820.342,356670.55776
176,Naples,2018-12-12,0.358,47.03,24228,1091,8673.624,407920.53672
177,Milan,2018-12-13,0.665,43.66,36292,9509,24134.18,1053698.2988
178,Rome,2018-12-13,0.68,30.42,15989,4827,10872.52,330742.05840000004
179,Naples,2018-12-13,0.441,44.53,24628,1023,10860.948,483638.01444
180,Milan,2018-12-14,0.7140000000000001,43.89,36326,9602,25936.764000000003,1138364.57196
181,Rome,2018-12-14,0.449,43.87,15927,5029,7151.223,313724.15300999995
182,Naples,2018-12-14,0.6729999999999999,26.25,24847,966,16722.031,438953.31375
183,Milan,2018-12-15,0.62,47.87,36219,9511,22455.78,1074958.1886
184,Rome,2018-12-15,0.44,46.6,15982,5066,7032.08,327694.928
185,Naples,2018-12-15,0.6729999999999999,24.87,25178,1087,16944.793999999998,421417.02677999996
186,Milan,2018-12-16,0.638,48.43,36477,9490,23272.326,1127078.74818
187,Rome,2018-12-16,0.41600000000000004,47.09,16287,5239,6775.392000000001,319053.20928000007
188,Naples,2018-12-16,0.551,32.97,25434,1079,14014.134000000002,462045.99798000004
189,Milan,2018-12-17,0.373,88.18,36220,9460,13510.06,1191317.0908000001
190,Rome,2018-12-17,0.713,28.42,16379,5093,11678.226999999999,331895.21134
191,Naples,2018-12-17,0.473,35.48,25461,1039,12043.053,427287.52043999993
192,Milan,2018-12-18,0.466,64.19,36232,9450,16884.112,1083791.14928
193,Rome,2018-12-18,0.693,31.39,16506,5274,11438.658,359059.47462
194,Naples,2018-12-18,0.47,36.51,25313,1038,11897.109999999999,434363.4860999999
195,Milan,2018-12-19,0.37,86.14,36408,9576,13470.96,1160388.4944
196,Rome,2018-12-19,0.599,34.46,16264,5005,9742.136,335714.00656
197,Naples,2018-12-19,0.563,29.8,25307,1186,14247.840999999999,424585.66179999994
198,Milan,2018-12-20,0.607,52.04,36423,9572,22108.761,1150539.9224399999
199,Rome,2018-12-20,0.7070000000000001,29.35,16413,5138,11603.991000000002,340577.1358500001
200,Naples,2018-12-20,0.645,26.59,25227,1056,16271.415,432656.92485
201,Milan,2018-12-21,0.632,47.59,36414,9454,23013.648,1095219.50832
202,Rome,2018-12-21,0.396,50.51,16232,5038,6427.872,324671.81472
203,Naples,2018-12-21,0.638,26.79,25147,974,16043.786,429813.02694
204,Milan,2018-12-22,0.65,46.17,36597,9601,23788.05,1098294.2685
205,Rome,2018-12-22,0.6990000000000001,30.3,16309,5178,11399.991000000002,345419.7273000001
206,Naples,2018-12-22,0.738,21.95,25110,1119,18531.18,406759.401
207,Milan,2018-12-23,0.563,52.05,36695,9517,20659.284999999996,1075315.7842499998
208,Rome,2018-12-23,0.7090000000000001,30.87,16678,5035,11824.702000000001,365028.55074000004
209,Naples,2018-12-23,0.373,49.0,25256,1046,9420.488,461603.91199999995
210,Milan,2018-12-24,0.705,43.41,36589,9462,25795.245,1119771.58545
211,Rome,2018-12-24,0.5670000000000001,37.32,16409,5042,9303.903,347221.65996
212,Naples,2018-12-24,0.547,28.85,25115,968,13737.905,396338.55925000005
213,Milan,2018-12-25,0.39799999999999996,81.89,36723,9498,14615.753999999999,1196884.09506
214,Rome,2018-12-25,0.649,33.1,16528,5196,10726.672,355052.8432
215,Naples,2018-12-25,0.382,44.91,25390,1010,9698.98,435581.1918
216,Milan,2018-12-26,0.439,67.48,36602,9601,16068.278,1084287.39944
217,Rome,2018-12-26,0.5920000000000001,34.33,16495,5144,9765.04,335233.8232
218,Naples,2018-12-26,0.623,27.42,25638,1171,15972.474,437965.23708000005
219,Milan,2018-12-27,0.377,80.94,36485,9563,13754.845,1113317.1542999998
220,Rome,2018-12-27,0.54,40.52,16597,5211,8962.380000000001,363155.6376000001
221,Naples,2018-12-27,0.609,26.42,25534,1064,15550.206,410836.44252000004
222,Milan,2018-12-28,0.546,57.23,36730,9581,20054.58,1147723.6134000001
223,Rome,2018-12-28,0.473,43.71,16199,5068,7662.1269999999995,334911.57117
224,Naples,2018-12-28,0.6659999999999999,25.3,25564,1021,17025.624,430748.2872
225,Milan,2018-12-29,0.601,51.72,36791,9579,22111.391,1143601.14252
226,Rome,2018-12-29,0.6759999999999999,30.62,16323,5034,11034.347999999998,337871.73575999995
227,Naples,2018-12-29,0.473,39.63,25479,966,12051.567,477603.60021
228,Milan,2018-12-30,0.612,47.19,36897,9467,22580.964,1065595.69116
229,Rome,2018-12-30,0.698,31.9,16143,5059,11267.813999999998,359443.2665999999
230,Naples,2018-12-30,0.618,27.36,25687,994,15874.566,434328.12576
231,Milan,2018-12-31,0.534,63.33,37142,9676,19833.828,1256076.32724
232,Rome,2018-12-31,0.708,30.31,16347,5279,11573.676,350798.11955999996
233,Naples,2018-12-31,0.738,22.78,25726,1066,18985.788,432496.25064000004
234,Milan,2019-01-01,0.43799999999999994,65.66,36428,9339,15955.463999999998,1047635.7662399998
235,Rome,2019-01-01,0.456,47.27,16202,4956,7388.112,349236.05424
236,Naples,2019-01-01,0.547,28.02,25561,977,13981.867,391771.91334
237,Milan,2019-01-02,0.429,70.11,36114,9222,15492.905999999999,1086207.6396599999
238,Rome,2019-01-02,0.5379999999999999,39.29,16092,4984,8657.496,340153.01784
239,Naples,2019-01-02,0.728,21.04,25620,932,18651.36,392424.6144
240,Milan,2019-01-03,0.6729999999999999,41.85,36106,9308,24299.337999999996,1016927.2952999999
241,Rome,2019-01-03,0.612,29.85,16029,4943,9809.748,292820.9778
242,Naples,2019-01-03,0.716,21.08,25115,724,17982.34,379067.72719999996
243,Milan,2019-01-04,0.723,39.57,36021,9346,26043.183,1030528.7513100001
244,Rome,2019-01-04,0.4,53.13,15978,4926,6391.200000000001,339564.45600000006
245,Naples,2019-01-04,0.36,49.1,24782,766,8921.52,438046.63200000004
246,Milan,2019-01-05,0.727,40.09,35866,9253,26074.582,1045329.9923800001
247,Rome,2019-01-05,0.518,40.98,15889,5000,8230.502,337285.97196
248,Naples,2019-01-05,0.365,44.48,24982,947,9118.43,405587.76639999996
249,Milan,2019-01-06,0.39399999999999996,72.71,35987,9369,14178.877999999999,1030946.2193799998
250,Rome,2019-01-06,0.616,33.42,16058,4943,9891.728,330581.54975999997
251,Naples,2019-01-06,0.589,26.66,24951,890,14696.139,391799.06574
252,Milan,2019-01-07,0.414,73.3,36034,9323,14918.076,1093494.9707999998
253,Rome,2019-01-07,0.72,27.65,16005,5013,11523.6,318627.54
254,Naples,2019-01-07,0.449,36.43,24660,881,11072.34,403365.3462
255,Milan,2019-01-08,0.446,67.7,35818,9381,15974.828,1081495.8556000001
256,Rome,2019-01-08,0.355,56.35,15990,5013,5676.45,319867.9575
257,Naples,2019-01-08,0.358,44.61,24764,768,8865.511999999999,395490.4903199999
258,Milan,2019-01-09,0.623,47.27,35875,9383,22350.125,1056490.4087500002
259,Rome,2019-01-09,0.439,45.74,15942,4911,6998.5380000000005,320113.12812
260,Naples,2019-01-09,0.721,22.91,24910,744,17960.11,411466.1201
261,Milan,2019-01-10,0.746,39.91,36046,9300,26890.316,1073192.5115599998
262,Rome,2019-01-10,0.7020000000000001,26.79,15732,4881,11043.864000000001,295865.11656000005
263,Naples,2019-01-10,0.434,34.83,24524,1013,10643.416,370710.17928
264,Milan,2019-01-11,0.569,54.14,36124,9382,20554.555999999997,1112823.66184
265,Rome,2019-01-11,0.48700000000000004,43.14,16046,4941,7814.402000000001,337113.30228000006
266,Naples,2019-01-11,0.441,39.82,24844,1090,10956.204,436276.04328
267,Milan,2019-01-12,0.7040000000000001,44.85,35945,9387,25305.280000000002,1134941.8080000002
268,Rome,2019-01-12,0.7290000000000001,27.44,16207,5159,11814.903000000002,324200.9383200001
269,Naples,2019-01-12,0.652,23.85,24610,871,16045.720000000001,382690.4220000001
270,Milan,2019-01-13,0.6559999999999999,45.26,35942,9321,23577.951999999997,1067138.1075199998
271,Rome,2019-01-13,0.35100000000000003,59.42,16485,4950,5786.235000000001,343818.0837
272,Naples,2019-01-13,0.525,29.22,24995,1105,13122.375,383435.7975
273,Milan,2019-01-14,0.452,64.97,35770,9299,16168.04,1050437.5588
274,Rome,2019-01-14,0.426,47.43,16174,5021,6890.124,326798.58132
275,Naples,2019-01-14,0.371,47.29,24772,851,9190.412,434614.58348000003
276,Milan,2019-01-15,0.368,78.36,35813,9298,13179.184,1032720.85824
277,Rome,2019-01-15,0.6729999999999999,28.25,15991,4834,10761.943,304024.88975
278,Naples,2019-01-15,0.672,22.66,24339,830,16355.808,370622.60928000003
279,Milan,2019-01-16,0.612,46.55,36060,9388,22068.72,1027298.916
280,Rome,2019-01-16,0.358,50.89,15672,4836,5610.576,285522.21264
281,Naples,2019-01-16,0.486,31.5,24435,887,11875.41,374075.415
282,Milan,2019-01-17,0.747,40.82,36179,9388,27025.713,1103189.60466
283,Rome,2019-01-17,0.45299999999999996,42.9,15599,5005,7066.347,303146.2863
284,Naples,2019-01-17,0.43200000000000005,35.01,24420,933,10549.44,369335.8944
285,Milan,2019-01-18,0.695,41.07,36379,9383,25283.405,1038389.44335
286,Rome,2019-01-18,0.506,41.19,15584,4801,7885.504,324803.90975999995
287,Naples,2019-01-18,0.466,32.79,24172,851,11264.152,369351.54407999996
288,Milan,2019-01-19,0.41,72.16,36258,9412,14865.779999999999,1072714.6848
289,Rome,2019-01-19,0.61,33.72,15855,4990,9671.55,326124.66599999997
290,Naples,2019-01-19,0.386,46.44,24355,951,9401.03,436583.8332
291,Milan,2019-01-20,0.557,54.72,36356,9355,20250.292,1108095.97824
292,Rome,2019-01-20,0.747,27.72,16179,5073,12085.713,335015.96436
293,Naples,2019-01-20,0.542,28.34,24626,756,13347.292000000001,378262.25528000004
294,Milan,2019-01-21,0.42,71.41,36104,9322,15163.68,1082838.3888
295,Rome,2019-01-21,0.574,38.8,16205,5011,9301.67,360904.796
296,Naples,2019-01-21,0.677,24.37,24627,861,16672.479,406308.31323
297,Milan,2019-01-22,0.48100000000000004,63.33,35844,9291,17240.964,1091870.25012
298,Rome,2019-01-22,0.377,49.12,16159,5001,6091.943,299236.24016
299,Naples,2019-01-22,0.713,23.96,24659,982,17581.867,421261.53332
300,Milan,2019-01-23,0.376,77.88,35885,9416,13492.76,1050816.1487999998
301,Rome,2019-01-23,0.664,28.03,16097,5199,10688.408000000001,299596.07624
302,Naples,2019-01-23,0.737,22.72,24174,635,17816.238,404784.92736000003
303,Milan,2019-01-24,0.588,48.3,35762,9355,21028.056,1015655.1048
304,Rome,2019-01-24,0.35700000000000004,58.22,16169,4887,5772.3330000000005,336065.22726
305,Naples,2019-01-24,0.648,25.17,24202,945,15682.896,394738.49232
306,Milan,2019-01-25,0.5529999999999999,52.46,35921,9433,19864.313,1042081.85998
307,Rome,2019-01-25,0.614,31.3,15922,5155,9776.108,305992.1804
308,Naples,2019-01-25,0.402,42.61,24026,762,9658.452000000001,411546.63972000004
309,Milan,2019-01-26,0.508,55.59,35888,9393,18231.104,1013467.0713600001
310,Rome,2019-01-26,0.44799999999999995,44.62,15792,4852,7074.815999999999,315678.28991999995
311,Naples,2019-01-26,0.722,22.31,24124,920,17417.528,388585.04967999994
312,Milan,2019-01-27,0.693,42.41,35994,9362,24943.841999999997,1057868.3392199997
313,Rome,2019-01-27,0.43200000000000005,49.85,15904,4991,6870.528000000001,342495.82080000004
314,Naples,2019-01-27,0.581,31.02,24401,1013,14176.981,439769.95061999996
315,Milan,2019-01-28,0.46399999999999997,67.07,35980,9416,16694.719999999998,1119714.8703999997
316,Rome,2019-01-28,0.39399999999999996,47.43,15849,4944,6244.505999999999,296176.91958
317,Naples,2019-01-28,0.557,30.63,24569,1030,13684.933,419169.49779
318,Milan,2019-01-29,0.5589999999999999,52.05,35972,9328,20108.347999999998,1046639.5133999998
319,Rome,2019-01-29,0.44799999999999995,39.37,16170,4898,7244.159999999999,285202.5791999999
320,Naples,2019-01-29,0.47,32.74,24540,931,11533.8,377616.612
321,Milan,2019-01-30,0.47100000000000003,66.34,36111,9396,17008.281000000003,1128329.3615400002
322,Rome,2019-01-30,0.6509999999999999,31.27,16293,5036,10606.742999999999,331672.85360999993
323,Naples,2019-01-30,0.44799999999999995,37.56,24384,859,10924.032,410306.64192
324,Milan,2019-01-31,0.467,63.72,35961,9338,16793.787,1070100.10764
325,Rome,2019-01-31,0.524,37.36,15912,4976,8337.888,311503.49568000005
326,Naples,2019-01-31,0.509,32.79,24240,761,12338.16,404568.26639999996
327,Milan,2019-02-01,0.746,39.08,36141,9430,26961.186,1053643.14888
328,Rome,2019-02-01,0.672,29.62,15999,5042,10751.328000000001,318454.33536
329,Naples,2019-02-01,0.529,30.05,24098,876,12747.842,383072.6521
330,Milan,2019-02-02,0.586,51.7,36209,9416,21218.474,1096995.1058
331,Rome,2019-02-02,0.634,34.02,16220,5038,10283.48,349843.98960000003
332,Naples,2019-02-02,0.748,21.66,24310,804,18183.88,393862.8408
333,Milan,2019-02-03,0.649,46.02,36485,9442,23678.765,1089696.7653
334,Rome,2019-02-03,0.42,44.65,15960,4877,6703.2,299297.88
335,Naples,2019-02-03,0.5479999999999999,25.09,24934,1109,13663.831999999999,342825.54487999994
336,Milan,2019-02-04,0.627,50.12,36348,9391,22790.196,1142244.62352
337,Rome,2019-02-04,0.586,36.17,16111,5058,9441.046,341482.63382000005
338,Naples,2019-02-04,0.529,31.7,24735,864,13084.815,414788.63550000003
339,Milan,2019-02-05,0.6659999999999999,45.91,36157,9387,24080.561999999998,1105538.6014199997
340,Rome,2019-02-05,0.703,29.23,15982,4913,11235.346,328409.16358
